время;sin(t);sin(t*5);sin(t*10);sin(t*20);sin(t*50);sin(t*10)+sin(t*50);sin(t*10)+sin(t*20)+sin(t*50)
08.04.64 0:00;0,95746675;0,107063649;-0,212896531;-0,41603165;-0,878490058;-1,091386589;-1,507418239
08.04.64 0:14;0,954533489;0,05723795;-0,114288225;-0,227078733;-0,541896909;-0,656185134;-0,883263867
08.04.64 0:28;0,951504775;0,007269186;-0,014537988;-0,029072903;-0,072628498;-0,087166486;-0,116239389
08.04.64 0:43;0,948380912;-0,042717747;0,085357507;0,170091971;0,414421903;0,49977941;0,669871381
08.04.64 0:57;0,945162211;-0,092597909;0,184400139;0,362475816;0,800007368;0,984407507;1,346883323
08.04.64 1:12;0,941848995;-0,142246623;0,281600305;0,540408893;0,989723129;1,271323434;1,811732327
08.04.64 1:26;0,938441595;-0,191539795;0,375986814;0,696797573;0,93712015;1,313106964;2,009904537
08.04.64 1:40;0,934940352;-0,240354218;0,466616587;0,825407133;0,655077474;1,121694062;1,947101195
08.04.64 1:55;0,931345615;-0,28856788;0,552584081;0,921110315;0,212648987;0,765233068;1,686343384
08.04.64 2:09;0,927657744;-0,336060273;0,633030338;0,980091736;-0,281843389;0,351186949;1,331278685
08.04.64 2:24;0,923877109;-0,38271269;0,707151565;0,999999992;-0,707330674;-0,000179108;0,999820884
08.04.64 2:38;0,920004086;-0,428408524;0,774207168;0,980041404;-0,95963874;-0,185431573;0,794609831
08.04.64 2:52;0,916039064;-0,473033561;0,833527148;0,921011658;-0,976993775;-0,143466627;0,777545031
08.04.64 3:07;0,911982439;-0,51647626;0,8845188;0,825264084;-0,755146659;0,129372141;0,954636224
08.04.64 3:21;0,907834616;-0,558628037;0,926672633;0,696615834;-0,348413305;0,578259328;1,274875162
08.04.64 3:36;0,90359601;-0,599383535;0,95956746;0,54019571;0,143623778;1,103191237;1,643386947
08.04.64 3:50;0,899267046;-0,638640886;0,982874605;0,362239687;0,60049675;1,583371356;1,945611043
08.04.64 4:04;0,894848156;-0,676301968;0,996361193;0,169842312;0,910347176;1,906708368;2,07655068
08.04.64 4:19;0,890339781;-0,712272647;0,999892468;-0,029326141;0,997312863;1,997205331;1,967879191
08.04.64 4:33;0,885742374;-0,746463015;0,993433149;-0,227325453;0,840101579;1,833534728;1,606209275
08.04.64 4:48;0,881056393;-0,778787615;0,977047774;-0,416262016;0,477204129;1,454251903;1,037989886
08.04.64 5:02;0,876282307;-0,809165651;0,950900061;-0,588603527;-0,002529535;0,948370525;0,359766998
08.04.64 5:16;0,871420593;-0,837521194;0,915251268;-0,737479272;-0,481643881;0,433607387;-0,303871885
08.04.64 5:31;0,866471738;-0,863783371;0,870457587;-0,856954046;-0,842835006;0,027622581;-0,829331465
08.04.64 5:45;0,861436237;-0,887886539;0,816966582;-0,942264767;-0,997670728;-0,180704145;-1,122968912
08.04.64 6:00;0,856314593;-0,909770453;0,755312717;-0,990010365;-0,908241857;-0,152929141;-1,142939506
08.04.64 6:14;0,851107318;-0,929380415;0,686112016;-0,998287373;-0,596443705;0,089668312;-0,908619061
08.04.64 6:28;0,845814933;-0,94666741;0,610055912;-0,966765814;-0,138615331;0,471440581;-0,495325233
08.04.64 6:43;0,840437967;-0,961588229;0,52790433;-0,896702353;0,35315091;0,881055241;-0,015647112
08.04.64 6:57;0,834976958;-0,974105578;0,440478103;-0,790890199;0,758453492;1,198931595;0,408041396
08.04.64 7:12;0,829432452;-0,984188171;0,348650764;-0,653547748;0,978060207;1,326710971;0,673163223
08.04.64 7:26;0,823805004;-0,991810806;0,253339822;-0,490150411;0,958203672;1,211543494;0,721393083
08.04.64 7:40;0,818095176;-0,99695443;0,155497592;-0,307212324;0,70374546;0,859243052;0,552030728
08.04.64 7:55;0,812303539;-0,999606188;0,056101682;-0,112026651;0,276985815;0,333087497;0,221060846
08.04.64 8:09;0,806430672;-0,99975945;-0,043854778;0,087625172;-0,217589618;-0,261444395;-0,173819224
08.04.64 8:24;0,800477163;-0,997413835;-0,143373055;0,283783655;-0,658891523;-0,802264578;-0,518480923
08.04.64 8:38;0,794443607;-0,992575204;-0,241458796;0,468628579;-0,938873804;-1,1803326;-0,711704021
08.04.64 8:52;0,788330607;-0,985255653;-0,337131961;0,634790761;-0,988987033;-1,326118994;-0,691328234
08.04.64 9:07;0,782138774;-0,975473475;-0,429436614;0,775645838;-0,796961745;-1,226398359;-0,450752521
08.04.64 9:21;0,775868729;-0,963253122;-0,517450479;0,885578363;-0,409812426;-0,927262905;-0,041684542
08.04.64 9:36;0,769521097;-0,948625137;-0,60029415;0,960205674;0,077673267;-0,522620883;0,437584791
08.04.64 9:50;0,763096514;-0,931626084;-0,67713988;0,996552614;0,546141836;-0,130998044;0,86555457
08.04.64 10:04;0,756595622;-0,912298451;-0,747219852;0,993170147;0,880895835;0,133675983;1,12684613
08.04.64 10:19;0,750019071;-0,890690547;-0,809833851;0,95019312;0,999975812;0,190141962;1,140335082
08.04.64 10:33;0,743367518;-0,86685638;-0,864356257;0,869334892;0,874226835;0,009870578;0,87920547
08.04.64 10:48;0,73664163;-0,840855524;-0,910242301;0,753819025;0,534436639;-0,375805663;0,378013362
08.04.64 11:02;0,729842077;-0,812752966;-0,947033505;0,608250772;0,063797714;-0,883235791;-0,274985019
08.04.64 11:16;0,722969542;-0,78261895;-0,974362264;0,43843348;-0,422461116;-1,396823379;-0,958389899
08.04.64 11:31;0,71602471;-0,750528794;-0,991955516;0,25113723;-0,805286731;-1,797242247;-1,546105017
08.04.64 11:45;0,709008276;-0,716562707;-0,999637477;0,05382893;-0,990950069;-1,990587546;-1,936758616
08.04.64 12:00;0,701920941;-0,680805586;-0,997331391;-0,145625359;-0,933994269;-1,93132566;-2,07695102
08.04.64 12:14;0,694763416;-0,643346806;-0,985060299;-0,339274025;-0,648364099;-1,633424398;-1,972698423
08.04.64 12:28;0,687536414;-0,604279994;-0,962946811;-0,519396906;-0,203991784;-1,166938595;-1,686335501
08.04.64 12:43;0,68024066;-0,563702796;-0,931211876;-0,678813071;0,290324834;-0,640887042;-1,319700113
08.04.64 12:57;0,672876882;-0,521716635;-0,89017258;-0,811167102;0,713559807;-0,176612773;-0,987779875
08.04.64 13:12;0,665445817;-0,478426454;-0,840238973;-0,91118246;0,962090453;0,121851479;-0,78933098
08.04.64 13:26;0,657948207;-0,433940457;-0,781909977;-0,974871848;0,975067802;0,193157825;-0,781714023
08.04.64 13:40;0,650384804;-0,388369834;-0,715768395;-0,999696172;0,749314546;0,033546152;-0,966150021
08.04.64 13:55;0,642756363;-0,341828489;-0,642475091;-0,984665765;0,340102957;-0,302372134;-1,2870379
08.04.64 14:09;0,635063646;-0,29443275;-0,562762389;-0,930379841;-0,152377698;-0,715140087;-1,645519928
08.04.64 14:24;0,627307424;-0,246301083;-0,477426751;-0,839002609;-0,607550979;-1,084977729;-1,923980338
08.04.64 14:38;0,619488471;-0,197553792;-0,387320822;-0,71417699;-0,91397459;-1,301295412;-2,015472402
08.04.64 14:52;0,61160757;-0,148312719;-0,293344912;-0,560879388;-0,996625346;-1,289970258;-1,850849646
08.04.64 15:07;0,603665509;-0,098700941;-0,196437997;-0,385221295;-0,835267459;-1,031705455;-1,416926751
08.04.64 15:21;0,595663082;-0,048842463;-0,097568338;-0,194205645;-0,469406966;-0,566975304;-0,761180949
08.04.64 15:36;0,587601089;0,001138097;0,002276192;0,004552372;0,011380722;0,013656914;0,018209285
08.04.64 15:50;0,579480337;0,051115811;0,102097978;0,203128899;0,489382013;0,591479991;0,794608891
08.04.64 16:04;0,571301636;0,100965763;0,200899635;0,393607319;0,84756552;1,048465155;1,442072474
08.04.64 16:19;0,563065807;0,150563353;0,29769397;0,568393857;0,998235427;1,295929397;1,864323253
08.04.64 16:33;0,554773671;0,199784612;0,391513845;0,720520325;0,904502487;1,296016332;2,016536657
08.04.64 16:48;0,546426058;0,248506515;0,481421843;0,843921922;0,589315793;1,070737635;1,914659557
08.04.64 17:02;0,538023803;0,29660728;0,566519633;0,933679015;0,129844039;0,696363672;1,630042687
08.04.64 17:16;0,529567746;0,343966682;0,645956946;0,986213272;-0,361418064;0,284538882;1,270752154
08.04.64 17:31;0,521058733;0,390466346;0,718940071;0,999430318;-0,764192419;-0,045252349;0,95417797
08.04.64 17:45;0,512497614;0,435990049;0,784739784;0,972803231;-0,97986582;-0,195126035;0,777677196
08.04.64 18:00;0,503885246;0,480424002;0,842698637;0,907393549;-0,95563389;-0,112935253;0,794458295
08.04.64 18:14;0,49522249;0,523657146;0,892237523;0,805808949;-0,697429456;0,194808068;1,000617017
08.04.64 18:28;0,486510212;0,56558142;0,932861468;0,67209929;-0,268469966;0,664391501;1,336490791
08.04.64 18:43;0,477749283;0,606092034;0,964164568;0,511595153;0,226220334;1,190384902;1,701980055
08.04.64 18:57;0,46894058;0,645087735;0,985834055;0,330695331;0,665524006;1,651358061;1,982053392
08.04.64 19:12;0,460084983;0,682471051;0,997653414;0,13661173;0,941884191;1,939537605;2,076149336
08.04.64 19:26;0,451183378;0,718148546;0,99950455;-0,062918149;0,987638277;1,987142827;1,924224678
08.04.64 19:40;0,442236655;0,752031043;0,991368967;-0,259939681;0,791584067;1,782953034;1,523013353
08.04.64 19:55;0,433245709;0,784033855;0,973327952;-0,446598237;0,401722471;1,375050423;0,928452186
08.04.64 20:09;0,424211439;0,81407699;0,945561767;-0,615452331;-0,086494798;0,859066969;0,243614638
08.04.64 20:24;0,415134748;0,842085356;0,908347841;-0,759770283;-0,553535123;0,354812718;-0,404957565
08.04.64 20:38;0,406016543;0,867988948;0,862058004;-0,873798591;-0,885050745;-0,022992741;-0,896791332
08.04.64 20:52;0,396857738;0,891723019;0,807154767;-0,952991307;-0,999875077;-0,192720309;-1,145711617
08.04.64 21:07;0,387659247;0,913228247;0,744186708;-0,994191267;-0,869895118;-0,125708411;-1,119899678
08.04.64 21:21;0,37842199;0,932450881;0,673782981;-0,995755958;-0,526934496;0,146848484;-0,848907474
